date,symbol,sales
6/13/2012,AAPL,81.73714443
6/14/2012,AAPL,81.64714057
6/15/2012,AAPL,82.01857
6/18/2012,AAPL,83.68285371
6/19/2012,AAPL,83.91571814
6/20/2012,AAPL,83.67713929
6/21/2012,AAPL,82.52428443
6/22/2012,AAPL,83.15714257
6/25/2012,AAPL,81.53857429
6/26/2012,AAPL,81.71857457
6/27/2012,AAPL,82.07142643
6/28/2012,AAPL,81.29285429
6/29/2012,AAPL,83.42857357
7/2/2012,AAPL,84.64571386
7/3/2012,AAPL,85.62999729
7/5/2012,AAPL,87.134285
7/6/2012,AAPL,86.55428314
7/9/2012,AAPL,87.69857029
7/10/2012,AAPL,86.887146
7/11/2012,AAPL,86.34714514
7/12/2012,AAPL,85.55714414
7/13/2012,AAPL,86.42428586
7/16/2012,AAPL,86.70143129
7/17/2012,AAPL,86.70571143
7/18/2012,AAPL,86.60857386
7/19/2012,AAPL,87.76000214
7/20/2012,AAPL,86.32857514
7/23/2012,AAPL,86.26142886
7/24/2012,AAPL,85.84571071
7/25/2012,AAPL,82.13857271
7/26/2012,AAPL,82.12571714
7/27/2012,AAPL,83.594284
7/30/2012,AAPL,85.00428771
7/31/2012,AAPL,87.25142671
8/1/2012,AAPL,86.68714143
8/2/2012,AAPL,86.82714086
8/3/2012,AAPL,87.95714571
8/6/2012,AAPL,88.93571471
8/7/2012,AAPL,88.70143129
8/8/2012,AAPL,88.55142971
8/9/2012,AAPL,88.67571257
8/10/2012,AAPL,88.81428529
8/13/2012,AAPL,90
8/14/2012,AAPL,90.24143214
8/15/2012,AAPL,90.11856843
8/16/2012,AAPL,90.905716
8/17/2012,AAPL,92.587143
8/20/2012,AAPL,95.021431
8/21/2012,AAPL,93.72285457
8/22/2012,AAPL,95.55285643
8/23/2012,AAPL,94.66143043
8/24/2012,AAPL,94.74571229
8/27/2012,AAPL,96.525711
8/28/2012,AAPL,96.40000157
8/29/2012,AAPL,96.20999914
8/30/2012,AAPL,94.83856957
8/31/2012,AAPL,95.03428643
9/4/2012,AAPL,96.42428586
9/5/2012,AAPL,95.74714657
9/6/2012,AAPL,96.61000057
9/7/2012,AAPL,97.20571143
9/10/2012,AAPL,94.67713929
9/11/2012,AAPL,94.37000271
9/12/2012,AAPL,95.684288
9/13/2012,AAPL,97.568573
9/14/2012,AAPL,98.75428771
9/17/2012,AAPL,99.96857457
9/18/2012,AAPL,100.2728577
9/19/2012,AAPL,100.300003
9/20/2012,AAPL,99.81428529
9/21/2012,AAPL,100.0128556
9/24/2012,AAPL,98.684288
9/25/2012,AAPL,96.22000129
9/26/2012,AAPL,95.025711
9/27/2012,AAPL,97.33142857
9/28/2012,AAPL,95.300003
10/1/2012,AAPL,94.19857029
10/2/2012,AAPL,94.47285457
10/3/2012,AAPL,95.92142486
10/4/2012,AAPL,95.25714114
10/5/2012,AAPL,93.22714229
10/8/2012,AAPL,91.16714471
10/9/2012,AAPL,90.83571629
10/10/2012,AAPL,91.55857086
10/11/2012,AAPL,89.728569
10/12/2012,AAPL,89.95857243
10/15/2012,AAPL,90.68000029
10/16/2012,AAPL,92.82714086
10/17/2012,AAPL,92.087143
10/18/2012,AAPL,90.37714386
10/19/2012,AAPL,87.12000271
10/22/2012,AAPL,90.57571414
10/23/2012,AAPL,87.62285614
10/24/2012,AAPL,88.11856843
10/25/2012,AAPL,87.07714086
10/26/2012,AAPL,86.28571314
10/31/2012,AAPL,85.04571529
11/1/2012,AAPL,85.22000129
11/2/2012,AAPL,82.40000157
11/5/2012,AAPL,83.51714329
11/6/2012,AAPL,83.26428229
11/7/2012,AAPL,79.71428686
11/8/2012,AAPL,76.82142643
11/9/2012,AAPL,78.15142829
11/12/2012,AAPL,77.547142
11/13/2012,AAPL,77.55714414
11/14/2012,AAPL,76.69714357
11/15/2012,AAPL,75.08856957
11/16/2012,AAPL,75.38285829
11/19/2012,AAPL,80.818573
11/20/2012,AAPL,80.12999729
11/21/2012,AAPL,80.24285886
11/23/2012,AAPL,81.64286043
11/26/2012,AAPL,84.21857457
11/27/2012,AAPL,83.54000086
11/28/2012,AAPL,83.27714543
11/29/2012,AAPL,84.19428257
11/30/2012,AAPL,83.61142729
12/3/2012,AAPL,83.74143214
12/4/2012,AAPL,82.26428229
12/5/2012,AAPL,76.97000129
12/6/2012,AAPL,78.17713929
12/7/2012,AAPL,76.17857357
12/10/2012,AAPL,75.68856814
12/11/2012,AAPL,77.34143071
12/12/2012,AAPL,77
12/13/2012,AAPL,75.66999814
12/14/2012,AAPL,72.82714086
12/17/2012,AAPL,74.11856843
12/18/2012,AAPL,76.271431
12/19/2012,AAPL,75.18714143
12/20/2012,AAPL,74.53285986
12/21/2012,AAPL,74.19000243
12/24/2012,AAPL,74.30999757
12/26/2012,AAPL,73.28571314
12/27/2012,AAPL,73.58000186
12/28/2012,AAPL,72.79856871
