,date,symbol,sales
725,11/19/2012,AAPL,16.0
726,11/20/2012,AAPL,16.0
727,11/21/2012,AAPL,16.0
728,11/23/2012,AAPL,16.0
729,11/26/2012,AAPL,16.0
730,11/27/2012,AAPL,16.0
731,11/28/2012,AAPL,16.0
732,11/29/2012,AAPL,16.0
733,11/30/2012,AAPL,16.0
734,12/3/2012,AAPL,16.0
735,12/4/2012,AAPL,16.0
736,12/5/2012,AAPL,15.0
737,12/6/2012,AAPL,15.0
738,12/7/2012,AAPL,15.0
739,12/10/2012,AAPL,15.0
740,12/11/2012,AAPL,15.0
741,12/12/2012,AAPL,15.0
742,12/13/2012,AAPL,15.0
743,12/14/2012,AAPL,14.0
744,12/17/2012,AAPL,14.0
745,12/18/2012,AAPL,15.0
746,12/19/2012,AAPL,15.0
747,12/20/2012,AAPL,14.0
748,12/21/2012,AAPL,14.0
749,12/24/2012,AAPL,14.0
750,12/26/2012,AAPL,14.0
751,12/27/2012,AAPL,14.0
752,12/28/2012,AAPL,14.0
753,12/31/2012,AAPL,15.0
754,1/2/2013,AAPL,15.0
755,1/3/2013,AAPL,15.0
756,1/4/2013,AAPL,15.0
757,1/7/2013,AAPL,14.0
758,1/8/2013,AAPL,15.0
759,1/9/2013,AAPL,14.0
760,1/10/2013,AAPL,14.0
761,1/11/2013,AAPL,14.0
762,1/14/2013,AAPL,14.0
763,1/15/2013,AAPL,13.0
764,1/16/2013,AAPL,14.0
765,1/17/2013,AAPL,14.0
766,1/18/2013,AAPL,14.0
767,1/22/2013,AAPL,14.0
768,1/23/2013,AAPL,14.0
769,1/24/2013,AAPL,12.0
770,1/25/2013,AAPL,12.0
771,1/28/2013,AAPL,12.0
772,1/29/2013,AAPL,13.0
773,1/30/2013,AAPL,13.0
